record_id,user_index,title,doi_seed,semantic_scholar_id,openalex_id,crossref_doi,matched_title,match_confidence,api_found,api_sources_found,citation_count,reference_count,abstract_available,open_access_pdf_url,metadata_notes
seed_inp_001,001,Growth of 4-Inch InP Single-Crystal Wafer Using the VGF-VB Technique,10.1021/acsomega.4c09376,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_002,002,The impact of cooling rate on the structure and properties of VGF-InP single crystals,10.1016/j.jcrysgro.2024.127946,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_003,003,Regulation of the Temperature Field and Evolution of the Melt Convection Field During InP Crystal Growth with the Vertical Gradient Freeze Method,10.1007/s11664-023-10668-4,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_004,004,Design and optimization of complex single heater for vertical gradient freeze (VGF) grower,10.1016/j.jcrysgro.2022.127051,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_005,005,Melt-conditioned vertical gradient freeze (MCVGF) to increase growth speed and process efficiency: a modelling approach,10.1007/s00170-023-12277-1,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_006,006,A study on solid–liquid interface shape optimization and dislocation suppression for 4.5-inch InP single crystal growth based on vertical gradient freezing technique,10.1016/j.jcrysgro.2025.128458,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_007,007,VGF–VB stage switched growth process for 4.5 inch InP single crystals with low dislocation density and high uniformity,10.1016/j.mssp.2026.110690,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_008,008,Crystal growth and wafer processing of 6-inch Indium Phosphide substrate,,,,,,uncertain,no,,,,no,,S2_title:error:URLError;OA_title:error:URLError;CR_title:error:URLError
seed_inp_009,009,"Growth and characterization of LEC, VCZ and VB InP single crystals",10.1109/iciprm.2004.1442794,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_010,010,4-inch Fe-doped InP substrates manufactured using vertical boat technique,10.1109/iciprm.2003.1205436,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_011,011,"Vertical gradient freeze growth of large diameter, low defect density indium phosphide",10.1016/0022-0248(87)90004-2,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_012,012,The dynamic gradient freeze growth of InP,10.1016/0022-0248(89)90609-x,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_013,013,"Growth of 2"" InP and GaAs crystals by the vertical gradient freeze (VGF) technique and characterization",10.1016/0022-0248(96)00039-5,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_014,014,Growth and characterization of 2 in InP crystals by the vertical gradient freeze technique,10.1016/0921-5107(94)90023-x,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_015,015,"Growth and characterization of 2"" and 4"" low EPD InP substrate crystals by the Vertical Gradient Freeze (VGF)-method",10.1109/iciprm.2005.1517510,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_016,016,"Photoluminescence topography of sulfur doped 2"" InP grown by the vertical gradient freeze technique",10.1109/iciprm.2002.1014453,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_017,017,"Growth of S-doped 2"" InP-crystals by the vertical gradient freeze technique",10.1109/iciprm.2001.929201,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_018,018,Recent Technologies in InP Bulk Crystals,10.1201/9781482282986-9,,,,,uncertain,no,,,,no,,S2_doi:error:URLError;S2_title:error:URLError;OA_doi:error:URLError;OA_title:error:URLError;CR_doi:error:URLError;CR_title:error:URLError
seed_inp_019,019,In-situ synthesis and growth of indium phosphide,,,,,,uncertain,no,,,,no,,S2_title:error:URLError;OA_title:error:URLError;CR_title:error:URLError
seed_inp_020,020,Indium phosphide single crystal furnace cooling crystallization temperature control model research,,,,,,uncertain,no,,,,no,,S2_title:error:URLError;OA_title:error:URLError;CR_title:error:URLError
seed_inp_021,021,Thermal field of 6-inch indium phosphide single crystal growth by semi-sealed Czochralski method,,,,,,uncertain,no,,,,no,,S2_title:error:URLError;OA_title:error:URLError;CR_title:error:URLError
